cupc,citem,mprice,sku,cuom,istdpk,pos18
"4592747","SLIPPER FLIP-FW MF-GCM-M7","80.50","459274.00","PC","1","SLPPR FLP-GCM-M7"
"4592754","SLIPPER FLIP-FW MF-GCM-M8","314.50","459275.00","PC","1","SLPPR FLP-GCM-M8"
"4592761","SLIPPER FLIP-FW MF-GCM-M9","539.50","459276.00","PC","1","SLPPR FLP-GCM-M9"
"4593065","LUWR SOEN 3IN1 HBBA3-012 REG","10.00","459306.00","PC","2","LUWR SOEN 3IN1"
"4593423","SALASET 3S-HF-CLC-DEMNARK","2500.00","459342.00","PC","1","3S-CLC-DEMNARK"
"4593522","TABLECENTER-FU-CLC-DENMARK","1187.00","459352.00","PC","1","TBLCNTR-DENMARK"
"4593577","TABLESIDE-FU-CLC-DENMARK","950.00","459357.00","PC","1","TBLSD-DENMARK"
"4593591","TABLECONSOLE-FU-CLC-DENMARK","1425.00","459359.00","PC","1","TBLCNSL-DENMARK"
"4593614","BEDBUNK-HF-TI-ICON 140","2999.50","459361.00","PC","1","BB-TI-ICON 140"
"4593652","PG CREAMDORY REG (HUB) BY 2'S","175.00","459365.00","PC","1","PG CDORY R.HUB 2'S"
"4594192","JOLLY DOG SOCKS MEDIUM","194.75","459419.00","PC","1","JOLLY DOGSOCKS MED"
"4594543","PANTY-APP LW-SG-BA369-A 3IN1","10.00","459454.00","PC","4","PANTY-BA369 A"
"4594550","PANTY-APP LW-SG-BA369-B 3IN1","10.00","459455.00","PC","4","PANTY-BA369-B"
"4594765","HIGHLANDS C/BEEF180GFREMILO22G","47.00","459476.00","PC","1","HGHLNDSC-BF180GFRM"
"4594789","PANTY-APP LW-SG-HP369-A 3IN1","189.00","459478.00","PC","4","PANTY-HP369-A"
"4594802","PANTY-APP LW-SG-HP369-B 3IN1","189.00","459480.00","PC","4","PANTY-HP369-B"
"4595052","JOLLY 2LAYER DOG COLLAR 26?","159.75","459505.00","PC","1","2LAYER DOGCOLLAR26"
"4595069","JOLLY 2 LAYER DOG COLLAR 28?","164.75","459506.00","PC","1","2LAYER DOGCOLLAR28"
"4595205","JOLLY CC1614 CHOKE CHAIN 16X14","39.75","459520.00","PC","1","JOLLY CC1614CHOKEC"
"4595229","JOLLY CC2018 CHOKE CHAIN 20X16","54.75","459522.00","PC","1","JOLLY CC2018CHOKEC"
"4595250","JOLLY CC2518 CHOKE CHAIN 25X18","54.75","459525.00","PC","1","JOLLY CC2518"
"4595267","JOLLY CC2520 CHOKE CHAIN 25X20","59.75","459526.00","PC","1","JOLLY CC2520"
"4595281","JOLLY CC3022 CHOKE CHAIN 30X22","59.75","459528.00","PC","1","JOLLY CC3022"
"4595335","JOLLY CC4030 CHOKE CHAIN 40X30","119.75","459533.00","PC","1","JOLLY CC4030"
"4595564","JOLLY DC1 DOG COLLAR 1","59.75","459556.00","PC","1","JOLLY DC1DOGCOLLA1"
"0","AZC LAPU LAPU","239.00","22182.00","KG","1","AZC LAPU LAPU"
